model,days,test_events,all_mean,all_win_rate,top_daily_mean,top_win_rate,bottom_daily_mean,spread_daily_mean,spread_positive_days
tree_ensemble,95,3056,-0.0033815012815932395,0.47284031413612565,0.00289346291830787,0.5702130325814536,-0.021771020428038065,0.024664483346345946,0.7473684210526316
ridge,95,3056,-0.0033815012815932395,0.47284031413612565,0.0027926209989677818,0.5709022556390977,-0.02003392336991514,0.022826544368882918,0.6842105263157895
xgboost,95,3056,-0.0033815012815932395,0.47284031413612565,0.000569069699433275,0.5138345864661654,-0.02228919322438395,0.022858262923817225,0.7263157894736842
random_forest,95,3056,-0.0033815012815932395,0.47284031413612565,-0.00029450605737219303,0.541265664160401,-0.023492226185818088,0.023197720128445898,0.6842105263157895
